ID,NOM,TYPES,DATE_CREATION,STATUT_PUBLICATION,URL,REGION,VILLE,CODE_POSTAL,STRUCTURES_ADOPTANTES_NOM,STRUCTURES_ADOPTANTES_ID,LATITUDE,LONGITUDE,GEOMETRIE,LINEAIRE,SURFACE,NB_RELEVE,NB_EVENEMENT,DATE_DERNIER_EVENEMENT
25,Mont Rose,,2020/05/25,publié,http://www.zero-dechet-sauvage.org/spots/mont-rose-13008-marseille-8e-arrondissement,Provence-Alpes-Côte d'Azur,Marseille,13008,,,43.230109485133,5.3522609981479,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[5.352862,43.23061],[5.351199,43.230164],[5.351424,43.229609],[5.353323,43.230141],[5.352862,43.23061]]]}}]}",0,9747.6152386149,0,0,
24,Calanque de Saména,Association,2020/05/25,publié,http://www.zero-dechet-sauvage.org/spots/calanque-de-samena-13008-marseille-8e-arrondissement,Provence-Alpes-Côte d'Azur,Marseille,13008,"CIQ Samena,Association Marseillaise d'Apnée","179,234",43.228793922764,5.3492794904405,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":[],""geometry"":{""type"":""Polygon"",""coordinates"":[[[5.348235,43.227774],[5.348106,43.227977],[5.348402,43.228051],[5.348423,43.22827],[5.348547,43.228286],[5.348429,43.22838],[5.348557,43.228446],[5.348493,43.22852],[5.34881,43.228466],[5.348906,43.228551],[5.349003,43.228645],[5.349137,43.228747],[5.349405,43.228821],[5.349378,43.228966],[5.348906,43.228985],[5.348777,43.229052],[5.348396,43.229044],[5.348015,43.22929],[5.347946,43.229357],[5.348005,43.229638],[5.348214,43.22981],[5.348359,43.229798],[5.348412,43.229916],[5.348751,43.230021],[5.35036,43.229513],[5.350613,43.229064],[5.349722,43.228809],[5.350328,43.228251],[5.3494,43.227938],[5.349207,43.227637],[5.349003,43.227567],[5.349024,43.227735],[5.348992,43.227875],[5.348793,43.227907],[5.348353,43.22775],[5.348235,43.227774]]]}}]}",0,30215.947620929,6,7,2023/06/03
23,Vallon du Maire,Éducatif,2020/05/25,publié,http://www.zero-dechet-sauvage.org/spots/vallon-du-maire-13240-septemes-les-vallons,Provence-Alpes-Côte d'Azur,Septèmes-les-Vallons,13240,Centre socio-culturel de la Gavotte Peyret,95,43.39787998765,5.3794264984848,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[5.379759,43.398765],[5.378526,43.398211],[5.378204,43.396995],[5.380649,43.397946],[5.380649,43.398359],[5.379759,43.398765]]]}}]}",0,20427.147452205,2,2,2021/06/05
22,Cascade des Aygalades,Association,2020/05/25,publié,http://www.zero-dechet-sauvage.org/spots/cascade-des-aygalades-13015-marseille-15e-arrondissement,Provence-Alpes-Côte d'Azur,Marseille,13015,La cité des arts de la rue,268,43.352644608101,5.3631995133786,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":[],""geometry"":{""type"":""Polygon"",""coordinates"":[[[5.363194,43.354072],[5.36359,43.354057],[5.363206,43.351217],[5.362809,43.351241],[5.363194,43.354072]]]}}]}",0,10198.148643408,6,6,2024/03/28
21,Port de Carry-le-Rouet,,2020/05/25,publié,http://www.zero-dechet-sauvage.org/spots/port-de-carry-le-rouet-13620-carry-le-rouet,Provence-Alpes-Côte d'Azur,Carry-le-Rouet,13620,,,43.329236476411,5.1527094971981,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[5.151717,43.330532],[5.152715,43.330571],[5.153219,43.330454],[5.153777,43.329743],[5.154088,43.329228],[5.154334,43.328737],[5.15353,43.328573],[5.152768,43.327902],[5.152361,43.328659],[5.151085,43.328487],[5.151203,43.329767],[5.151717,43.330532]]]}}]}",0,48426.817313293,0,0,
20,Plage du Rouet,,2020/05/25,publié,http://www.zero-dechet-sauvage.org/spots/plage-du-rouet-13620-carry-le-rouet,Provence-Alpes-Côte d'Azur,Carry-le-Rouet,13620,,,43.334195577117,5.1742810092077,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[5.172651,43.333973],[5.173273,43.334293],[5.174206,43.334527],[5.175407,43.334644],[5.175697,43.334551],[5.175911,43.334246],[5.175311,43.334488],[5.174174,43.334395],[5.17309,43.334028],[5.17293,43.333747],[5.172651,43.333973]]]}},{""type"":""Feature"",""properties"":[],""geometry"":{""type"":""LineString"",""coordinates"":[[5.172908,43.333876],[5.173385,43.334254],[5.174168,43.33441],[5.175005,43.334496],[5.175305,43.334488],[5.175638,43.334414],[5.175723,43.334168]]}}]}",272.03195171028,4800.6166110103,0,0,
19,Plage Fernandel,Association,2020/05/25,publié,http://www.zero-dechet-sauvage.org/spots/plage-fernandel-13620-carry-le-rouet,Provence-Alpes-Côte d'Azur,Carry-le-Rouet,13620,Planète Perles,77,43.32804374969,5.1512459702473,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[5.151284,43.328491],[5.151085,43.328491],[5.151155,43.328253],[5.151134,43.328081],[5.151187,43.327773],[5.151284,43.327632],[5.15138,43.327597],[5.151407,43.327784],[5.151209,43.327894],[5.151219,43.328167],[5.151284,43.328491]]]}},{""type"":""Feature"",""properties"":[],""geometry"":{""type"":""LineString"",""coordinates"":[[5.151278,43.328495],[5.151235,43.328307],[5.15131,43.328171],[5.151171,43.328183],[5.151192,43.327968],[5.151289,43.327734],[5.151321,43.327679]]}}]}",106.71255766549,898.72828467677,1,1,2020/10/17
18,Port de Sausset-les-Pins,Association,2020/05/25,publié,http://www.zero-dechet-sauvage.org/spots/port-de-sausset-les-pins-13960-sausset-les-pins,Provence-Alpes-Côte d'Azur,Sausset-les-Pins,13960,Planète Perles,77,43.330090401744,5.108275988416,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[5.106839,43.331015],[5.106689,43.330836],[5.107128,43.330235],[5.106678,43.329681],[5.107354,43.3294],[5.108179,43.329556],[5.108598,43.328986],[5.109874,43.329603],[5.109638,43.330305],[5.108898,43.330875],[5.107933,43.331062],[5.107632,43.331195],[5.106839,43.331015]]]}}]}",0,39734.820610002,1,1,2020/10/17
17,Anse du Petit Nid,Association,2020/05/25,publié,http://www.zero-dechet-sauvage.org/spots/anse-du-petit-nid-13960-sausset-les-pins,Provence-Alpes-Côte d'Azur,Sausset-les-Pins,13960,Aix en Provence Plongée,161,43.329988215587,5.0997589076629,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[5.099555,43.33018],[5.099448,43.329806],[5.099673,43.329931],[5.099919,43.329798],[5.10007,43.329938],[5.099877,43.330173],[5.099555,43.33018]]]}},{""type"":""Feature"",""properties"":[],""geometry"":{""type"":""LineString"",""coordinates"":[[5.099512,43.329942],[5.099737,43.329997],[5.099909,43.329962],[5.099957,43.329911]]}}]}",40.563469048458,1348.9469112028,2,2,2023/06/03
16,Plage de la Pointe rouge,Association,2020/04/06,publié,http://www.zero-dechet-sauvage.org/spots/plage-de-la-pointe-rouge-13008-marseille-8e-arrondissement,Provence-Alpes-Côte d'Azur,Marseille,13008,Eaux Cristallines,294,43.244715519542,5.3710620024156,"{""type"":""FeatureCollection"",""features"":[{""type"":""Feature"",""properties"":[],""geometry"":{""type"":""Polygon"",""coordinates"":[[[5.369378,43.244692],[5.370965,43.244215],[5.372328,43.244723],[5.372639,43.245083],[5.372746,43.245216],[5.372188,43.244989],[5.371459,43.244825],[5.370515,43.244731],[5.369775,43.244762],[5.369378,43.244692]]]}},{""type"":""Feature"",""properties"":[],""geometry"":{""type"":""LineString"",""coordinates"":[[5.369421,43.244731],[5.370204,43.244653],[5.370847,43.244669],[5.371502,43.24477],[5.372092,43.244903],[5.372617,43.245145]]}}]}",271.00447302917,9830.8289477696,1,1,2021/04/07
